         481573117 function calls (477158168 primitive calls) in 1291.467 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
266297/265248    0.209    0.000    2.128    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
    91437    0.206    0.000    0.340    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1726(__init__)
   150805    0.201    0.000    0.357    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:533(validate_coerce)
     3813    0.191    0.000    0.191    0.000 {built-in method stat}
    92627    0.181    0.000    0.194    0.000 <frozen importlib._bootstrap>:192(acquire)
   150805    0.176    0.000    0.284    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:524(__init__)
     4569    0.174    0.000    1.756    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\_error_x.py:426(__init__)
     4569    0.162    0.000    1.361    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\_error_y.py:406(__init__)
   261812    0.161    0.000    0.221    0.000 C:\Python34\lib\random.py:220(_randbelow)
   185241    0.161    0.000    0.161    0.000 {built-in method allocate_lock}
     4569    0.160    0.000    0.169    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\_opacitysrc.py:6(__init__)
    92620    0.159    0.000    0.320    0.000 <frozen importlib._bootstrap>:172(__init__)
     4560    0.158    0.000    2.906    0.001 C:\Python34\lib\site-packages\plotly\graph_objs\layout\_shape.py:591(__init__)
    91437    0.157    0.000    1.819    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1754(data_class)
        2    0.157    0.078    0.215    0.107 C:\Python34\lib\urllib\parse.py:733(<listcomp>)
    91449    0.156    0.000    1.073    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
        1    0.156    0.156    0.156    0.156 {built-in method startfile}
  2419629    0.154    0.000    0.154    0.000 {built-in method id}
    77741    0.141    0.000    0.194    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:807(__init__)
    96023    0.140    0.000    0.242    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:3284(_vals_equal)
    92627    0.134    0.000    0.143    0.000 <frozen importlib._bootstrap>:217(release)
     4569    0.123    0.000    1.021    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\marker\_line.py:366(__init__)
    13710    0.122    0.000    0.131    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1421(__init__)
        1    0.117    0.117    0.117    0.117 {built-in method getaddrinfo}
        1    0.115    0.115    0.115    0.115 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    91440    0.115    0.000    1.630    0.000 C:\Python34\lib\importlib\__init__.py:91(import_module)
    86895    0.114    0.000    0.175    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:503(__init__)
 109760/1    0.113    0.000    0.158    0.158 C:\Python34\lib\site-packages\plotly\tools.py:1403(_replace_newline)
    86811    0.098    0.000    1.253    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:3641(__init__)
     4569    0.097    0.000    1.620    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\_hoverlabel.py:304(__init__)
  1051526    0.093    0.000    0.093    0.000 {method 'pop' of 'dict' objects}
     4569    0.084    0.000    0.698    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\_line.py:215(__init__)
        1    0.084    0.084   66.253   66.253 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\plotly\gantt.py:13(gantt)
     4569    0.084    0.000    0.678    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\hoverlabel\_font.py:213(__init__)
        5    0.082    0.016    0.082    0.016 C:\Python34\lib\json\encoder.py:197(iterencode)
     4569    0.082    0.000    0.680    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\_textfont.py:213(__init__)
  1238971    0.082    0.000    0.082    0.000 C:\Python34\lib\copy.py:192(_deepcopy_atomic)
       40    0.079    0.002    0.079    0.002 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:68(<listcomp>)
    27378    0.076    0.000    0.555    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:33(fullmatch)
    50243    0.075    0.000    0.110    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1528(__init__)
    54856    0.074    0.000    0.112    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:293(__init__)
   182910    0.069    0.000    0.069    0.000 {built-in method getattr}
     4569    0.066    0.000    0.403    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\marker\colorbar\_titlefont.py:144(__init__)
     4569    0.066    0.000    0.076    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\_customdatasrc.py:6(__init__)
     4569    0.066    0.000    0.513    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\marker\_gradient.py:153(__init__)
     9120    0.064    0.000    0.064    0.000 C:\Python34\lib\site-packages\pandas\core\indexes\datetimes.py:556(<lambda>)
      393    0.064    0.000    0.064    0.000 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\RHS2.py:77(<listcomp>)
    95769    0.064    0.000    0.165    0.000 C:\Python34\lib\random.py:170(randrange)
     9120    0.064    0.000    0.873    0.000 C:\Python34\lib\site-packages\pandas\core\tools\datetimes.py:39(to_datetime)
    36669    0.062    0.000    0.106    0.000 C:\Python34\lib\abc.py:178(__instancecheck__)
   164530    0.059    0.000    0.083    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:2859(_in_batch_mode)
     4569    0.059    0.000    0.527    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\marker\colorbar\_tickfont.py:144(__init__)
    27440    0.058    0.000    0.077    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:687(__init__)
  1706370    0.058    0.000    0.058    0.000 {method '__getitem__' of 'dict' objects}
     9129    0.058    0.000    0.522    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1101(perform_validate_coerce)
    54786    0.058    0.000    0.061    0.000 C:\Python34\lib\re.py:277(_compile)
     9120    0.057    0.000    0.233    0.000 C:\Python34\lib\site-packages\pandas\core\indexes\datetimes.py:269(__new__)
     4569    0.054    0.000    0.451    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\unselected\_marker.py:131(__init__)
    91442    0.054    0.000    0.061    0.000 <frozen importlib._bootstrap>:2187(_sanity_check)
     4569    0.053    0.000    0.394    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\selected\_marker.py:125(__init__)
        1    0.053    0.053    0.053    0.053 {method 'connect' of '_socket.socket' objects}
   394196    0.049    0.000    0.049    0.000 {method 'getrandbits' of '_random.Random' objects}
     4560    0.048    0.000    0.410    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\layout\shape\_line.py:134(__init__)
        1    0.047    0.047   28.218   28.218 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1922(validate_coerce)
        1    0.046    0.046    0.052    0.052 C:\Python34\lib\site-packages\plotly\figure_factory\_gantt.py:426(gantt_dict)
     4569    0.046    0.000    1.266    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\_selected.py:82(__init__)
    96025    0.044    0.000    0.044    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1738(compute_graph_obj_module_str)
   201169    0.043    0.000    0.065    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:617(validate_coerce)
     4569    0.043    0.000    0.299    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\_stream.py:72(__init__)
    64359    0.042    0.000    0.042    0.000 C:\Python34\lib\_weakrefset.py:70(__contains__)
     2324    0.041    0.000    0.041    0.000 {built-in method OpenKey}
     4569    0.041    0.000    1.277    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\_unselected.py:86(__init__)
    36751    0.040    0.000    0.040    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
   114252    0.039    0.000    0.051    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:3644(_send_prop_set)
     1139    0.038    0.000    0.038    0.000 {method 'read' of '_io.FileIO' objects}
     9120    0.037    0.000    0.594    0.000 C:\Python34\lib\site-packages\pandas\core\tools\datetimes.py:202(_convert_listlike)
   128038    0.036    0.000    0.280    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:470(validate_coerce)
